Date,FGIRX,MSCI_EAFE,SPBMI,EFAD,IMTM,MSCI_euro,VWO,MSCI_EAFE_val
2015-01-27,25.690001,1807.618,10584.06,37.650002,26.290001,1632.21,41.490002,2862.841
2015-01-28,25.34,1802.628,10550.31,37.610001,26.209999,1625.18,41,2852.554
2015-01-29,25.51,1792.033,10512.62,37.5,26.219999,1622.62,41.040001,2832.83
2015-01-30,25.200001,1782.7,10440.86,37.166,26.219999,1606.97,39.939999,2817.527
2015-02-02,25.559999,1791.107,10520.41,37.210999,26.209999,1617.26,40.650002,2838.758
2015-02-03,25.959999,1805.811,10559.36,38.029999,26.209999,1645.73,41.369999,2874.923
2015-02-04,25.85,1818.964,10600.42,37.900002,26.17,1650.05,41.09,2890.196
2015-02-05,26.17,1820.748,10675.03,38.349998,26.219999,1652.71,41.400002,2897.574
2015-02-06,26.200001,1812.121,10618.27,37.970001,26.219999,1643.85,40.720001,2885.816
2015-02-09,26.120001,1805.667,10563.57,37.970001,26,1631.07,40.669998,2875.105
2015-02-10,26.32,1808.941,10578.08,38.238998,26,1638.91,40.599998,2877.31
2015-02-11,26.34,1798.264,10530.86,38.029999,25.07,1631.96,40.419998,2858.47
2015-02-12,26.67,1822.816,10569.52,38.029999,21.09,1652.95,41.360001,2898.274
2015-02-13,26.82,1839.346,10645.18,38.669998,26.5,1667.63,41.779999,2931.005
2015-02-17,26.879999,1841.54,10664.64,38.669998,26.65,1667.42,41.650002,2934.19
2015-02-18,26.84,1854.756,10684.51,38.939999,26.74,1676.15,41.689999,2955.14
2015-02-19,26.82,1863.88,10689.12,38.75,26.74,1684.36,41.560001,2964.958
2015-02-20,27,1866.733,10682.92,39.09,26.997,1684.96,41.77,2967.252
2015-02-23,26.959999,1874.417,10700.42,39.169998,27,1694.88,41.369999,2972.582
2015-02-24,27.09,1880.659,10715.99,39.369999,27.049999,1701.72,41.939999,2985.664
2015-02-25,27.129999,1884.08,10791.77,39.43,27.18,1702.69,41.799999,2992.083
2015-02-26,27.07,1880.829,10743.39,39.439999,27.18,1698.12,41.77,2981
2015-02-27,27,1886.261,10758.17,39.450001,27.200001,1705.44,41.799999,2988.759
2015-03-02,27.190001,1879.484,10742.63,39.330002,27.27,1698.16,41.740002,2975.573
2015-03-03,27.08,1870.029,10734.23,39.099998,27.091999,1680.77,41.360001,2962.821
2015-03-04,26.98,1862.016,10683.44,38.66,27.040001,1676.18,40.880001,2947.96
2015-03-05,27,1865.561,10679.99,38.779999,27.139999,1683.14,40.799999,2952.53
2015-03-06,26.709999,1848.588,10567.32,38.029999,26.85,1658.86,40.139999,2921.569
2015-03-09,26.809999,1838.607,10492.94,38.176998,26.85,1652.57,39.98,2907.139
2015-03-10,26.309999,1807.494,10355.58,37.259998,26.450001,1615.86,39.150002,2854.185
2015-03-11,26.280001,1807.924,10333.49,37.139999,26.450001,1620,39.459999,2853.768
2015-03-12,26.59,1821.871,10425.68,37.499001,26.450001,1625.57,39.68,2874.911
2015-03-13,26.379999,1815.844,10339.33,37.02,26.940001,1615.68,39.200001,2856.774
2015-03-16,26.709999,1832.504,10426.18,37.540001,26.940001,1639.57,39.66,2882.3
2015-03-17,26.67,1831.175,10421.18,37.549999,27,1632.57,39.91,2883.04
2015-03-18,26.959999,1845.079,10456.06,38.439999,27.030001,1644.36,40.939999,2905.416
2015-03-19,26.74,1851.011,10511.84,37.970001,27.030001,1650.24,40.220001,2914.281
2015-03-20,27,1887.309,10677.61,38.790001,25.92,1690.7,40.720001,2976.731
2015-03-23,26.98,1900.843,10760.93,38.880001,28.08,1699.87,40.84,3001.642
2015-03-24,26.82,1900.897,10804.6,38.650002,28.08,1701.34,41,3003.074
2015-03-25,26.450001,1900.118,10785.87,38.459999,28.02,1694.85,40.220001,3007.459
2015-03-26,26.379999,1874.561,10697.05,38.147999,27.6,1670.31,39.990002,2968.873
2015-03-27,26.389999,1869.834,10677.78,38.02,27.542,1670.22,40.080002,2952.67
2015-03-30,26.68,1871.176,10628.18,37.889999,27.620001,1679.2,40.900002,2952.564
2015-03-31,26.469999,1849.34,10588.99,37.596001,27.25,1654,40.869999,2915.845
2015-04-01,26.459999,1851.875,10600.22,37.389999,27.25,1662.13,41.419998,2921.205
2015-04-02,26.59,1870.364,10690.49,37.889999,27.25,1677.93,42.060001,2949.618
2015-04-06,26.75,1890.806,10796.94,38.470001,27.25,1697.79,42.57,2981.08
2015-04-07,26.74,1895.357,10798.05,38.66,27.25,1702.57,42.470001,2990.831
2015-04-08,26.870001,1893.81,10825.85,38.759998,28.01,1691.26,43.330002,2980.372
2015-04-09,27.030001,1895.747,10830.56,38.810001,27.92,1691.78,43.889999,2979.548
2015-04-10,27.200001,1901.276,10851.9,38.962002,27.993999,1699.24,43.799999,2984.794
2015-04-13,27.1,1894.353,10786.25,38.919998,27.993999,1693.35,43.650002,2974.602
2015-04-14,27.18,1909.492,10899.02,39.450001,27.993999,1705.49,43.77,3002.794
2015-04-15,27.33,1904.395,10867.2,39.48,28.101999,1702.21,44.029999,2998.065
2015-04-16,27.290001,1912.323,10961.38,39.68,28.08,1704.13,44.43,3012.056
2015-04-17,26.99,1896.056,10917.01,38.983002,27.700001,1685.82,43.52,2991.465
2015-04-20,27.219999,1897.833,10897.87,39.119999,27.860001,1695.99,43.380001,2996.736
2015-04-21,27.15,1911.143,10919.04,39.261002,27.860001,1702.67,43.720001,3008.088
2015-04-22,27.33,1910.667,10906.19,39.372002,27.860001,1699.44,44.23,3007.421
2015-04-23,27.379999,1916.355,10945.2,39.57,28.25,1704.06,44.450001,3019.621
2015-04-24,27.459999,1931.942,11041.16,39.709999,28.25,1718.88,44.669998,3045.285
2015-04-27,27.379999,1948.196,11120.89,39.799999,28.416,1738.82,44.860001,3070.565
2015-04-28,27.49,1945.577,11148.48,39.73,28.27,1728.12,44.970001,3071.577
2015-04-29,27.440001,1933.973,11110.93,39.59,28.15,1715.84,44.490002,3058.009
2015-04-30,27.18,1918.397,11012.86,39.509998,28.15,1717.7,43.900002,3033.001
2015-05-01,27.389999,1913.011,10968.08,39.598,28.061001,1715.34,44.16,3023.999
2015-05-04,27.49,1913.436,10985.55,39.560001,27.75,1715.2,44.380001,3021.156
2015-05-05,27.219999,1899.83,10964.7,39.130001,27.700001,1694.77,43.919998,3000.104
2015-05-06,27.1,1911.034,10993.04,39.029999,27.700001,1709.97,43.34,3020.847
2015-05-07,27.16,1893.01,10884.39,38.950001,27.700001,1695.65,43.279999,2988.94
2015-05-08,27.530001,1925.441,10988.97,39.849998,27.700001,1737.06,43.939999,3043.329
2015-05-11,27.42,1923.629,10987.81,39.73,27.700001,1731.79,43.52,3040.432
2015-05-12,27.34,1920.305,10963.51,39.757999,27.700001,1723.81,43.400002,3035.61
2015-05-13,27.4,1935.971,11047.57,40.080002,27.700001,1736.33,43.509998,3058.162
2015-05-14,27.629999,1942.473,11100.09,40.560001,28.290001,1751.36,43.919998,3067.295
2015-05-15,27.620001,1949.491,11155.26,40.490002,28.32,1752.79,44.369999,3072.274
2015-05-18,27.68,1946.746,11109.04,40.459999,28.4,1748.5,43.939999,3065.192
2015-05-19,27.68,1936.198,11035.11,40.240002,28.4,1740.28,44.040001,3044.704
2015-05-20,27.639999,1938.399,11024.51,40.25,28.4,1743.78,43.98,3049.623
2015-05-21,27.709999,1948.408,11068.5,40.709999,28.540001,1753.39,43.849998,3066.654
2015-05-22,27.629999,1935.255,11025.38,40.369999,28.360001,1737.15,43.959999,3046.22
2015-05-26,27.32,1906.436,10910.88,39.685001,28.360001,1699.14,43.310001,2996.943
2015-05-27,27.6,1915.696,10900.01,39.938,28.07,1718.23,43.419998,3009.617
2015-05-28,27.559999,1913.468,10876.33,39.959999,27.941999,1716.25,42.810001,3004.103
2015-05-29,27.309999,1898.984,10833.11,39.700001,27.73,1693.6,42.34,2983.376
2015-06-01,27.32,1891.213,10807.48,39.470001,27.75,1685.53,42.310001,2967.9
2015-06-02,27.370001,1903.564,10833.4,39.490002,27.75,1703.59,42.459999,2990.986
2015-06-03,27.49,1917.152,10891.69,39.75,27.992001,1722.34,42.25,3015.583
2015-06-04,27.25,1903.569,10786.92,39.130001,27.992001,1710.33,41.630001,2989.899
2015-06-05,27.290001,1865.795,10644.54,38.959999,27.370001,1669.03,41.43,2933.379
2015-06-08,27.1,1863.689,10626.92,38.970001,27.370001,1667.69,41.41,2928.13
2015-06-09,27.15,1858.456,10662.86,38.869999,27.17,1666.73,41.110001,2920.394
2015-06-10,27.48,1892.67,10793.78,39.470001,27.698999,1705.89,41.709999,2973.4
2015-06-11,27.52,1895.532,10801.37,39.439999,27.799999,1704.84,41.540001,2976.612
2015-06-12,27.35,1890.671,10796.38,39.130001,27.596001,1694.14,41.549999,2966.977
2015-06-15,27.209999,1867.936,10728.88,39.02,27.459999,1664.56,41.130001,2931.475
2015-06-16,27.35,1870.173,10741.24,38.950001,27.459999,1672.33,41.220001,2930.924
2015-06-17,27.370001,1860.346,10714.74,39.09,27.309999,1664.63,41.48,2917.373
2015-06-18,27.6,1881.388,10833.07,39.400002,27.59,1692.22,41.849998,2949.002
2015-06-19,27.440001,1882.909,10793.12,39.330002,27.51,1686.99,41.470001,2950.256
2015-06-22,27.65,1922.704,10914.19,39.73,27.51,1735.71,42.009998,3013.915
2015-06-23,27.68,1919.636,10910.54,39.647999,27.51,1722.66,42.389999,3008.496
2015-06-24,27.469999,1913.501,10875.69,38.970001,27.51,1716.76,42.169998,3002.366
2015-06-25,27.34,1910.102,10857.45,38.970001,27.51,1712.97,42.02,2995.339
2015-06-26,27.32,1898.819,10769.36,38.779999,27.709999,1706.99,41.25,2976.994
2015-06-29,26.73,1855.327,10589.33,38.240002,27.709999,1662.32,40.34,2906.385
2015-06-30,26.799999,1842.457,10582.78,37.82,27.709999,1638.88,40.880001,2885.125
2015-07-01,26.99,1856.099,10634.65,37.939999,27.02,1657.31,40.880001,2899.205
2015-07-02,26.950001,1856.457,10638.74,38.02,27.1,1651.18,41.07,2905.867
2015-07-06,26.809999,1819.879,10526.37,37.529999,27.1,1617.57,39.93,2843.237
2015-07-07,26.870001,1792.574,10449.37,37.348999,26.497999,1571.98,39.32,2796.378
2015-07-08,26.41,1791.731,10397.92,36.830002,26.497999,1592.57,37.869999,2793.769
2015-07-09,26.52,1816.186,10438.6,37.466,26.497999,1624.64,38.639999,2828.681
2015-07-10,26.860001,1851.945,10557.88,38.240002,26.497999,1676.86,39.73,2887.169
2015-07-13,27.18,1862.955,10617.42,38.43,26.497999,1684.54,39.98,2905.568
2015-07-14,27.33,1877.934,10691.24,38.859001,26.497999,1691.39,40.080002,2930.216
2015-07-15,27.33,1878.508,10698.48,38.639999,26.497999,1691.35,39.59,2931.441
2015-07-16,27.559999,1893.989,10753.72,39.110001,26.497999,1706,40.060001,2954.112
2015-07-17,27.59,1889.529,10739.86,39.099998,26.497999,1698.68,40.049999,2946.033
2015-07-20,27.549999,1893.382,10738.41,39.016998,26.497999,1704.9,39.799999,2949.992
2015-07-21,27.440001,1894.419,10757.66,38.970001,27.719999,1698.65,39.810001,2953.144
2015-07-22,27.35,1872.35,10672.46,38.610001,27.719999,1681.4,39.279999,2918.159
2015-07-23,27.15,1877.135,10666.19,38.459999,27.719999,1685.74,38.950001,2920.311
2015-07-24,26.83,1861.034,10604.96,37.84,27.719999,1668.65,38.389999,2892.774
2015-07-27,26.68,1846.846,10548.26,37.939999,27.108,1652.29,37.529999,2875.254
2015-07-28,26.969999,1848.584,10559.42,38.433998,27.49,1659.98,37.889999,2876.737
2015-07-29,27.200001,1861.947,10654.39,38.560001,27.49,1676.07,38.240002,2900.166
2015-07-30,27.209999,1858.974,10593.48,38.48,27.49,1670.04,38,2903.871
2015-07-31,27.129999,1879.75,10695.58,38.630001,27.549999,1689.05,38.32,2933.549
2015-08-03,27.040001,1877.371,10655.97,38.599998,27.549999,1690.52,37.689999,2925.806
2015-08-04,27,1876.742,10704.32,38.799999,27.559999,1685.51,37.810001,2923.689
2015-08-05,27.030001,1878.501,10674.6,38.889999,27.76,1693.36,37.849998,2928.92
2015-08-06,26.860001,1875.275,10632.05,38.48,27.610001,1687.25,37.580002,2926.31
2015-08-07,26.76,1868.644,10599.83,38.450001,27.610001,1676.56,37.540001,2918.932
2015-08-10,27.129999,1883.892,10655.92,38.84,27.610001,1694.29,38.18,2942.792
2015-08-11,26.82,1865.513,10530.48,38.200001,27.417,1677.22,37.360001,2913.893
2015-08-12,26.780001,1842.675,10485.06,38.23,27.02,1652.99,36.779999,2884.244
2015-08-13,26.75,1845.578,10497.97,38.119999,27.18,1658.7,36.709999,2880.658
2015-08-14,26.83,1840.941,10505.3,38.389999,27.18,1653.49,36.82,2869.032
2015-08-17,26.92,1840.934,10474.64,38.209999,27.18,1652.28,36.43,2869.89
2015-08-18,26.84,1835.21,10446.12,38.080002,27.18,1649.22,36.009998,2860.497
2015-08-19,26.59,1811.33,10373.41,37.830002,27.18,1622.7,35.52,2823.992
2015-08-20,26.01,1795.198,10298.28,37.23,27.18,1610.57,34.98,2800.698
2015-08-21,25.23,1756.648,10142,36.299999,27.18,1574.01,33.860001,2739.034
2015-08-24,24.219999,1696.814,9789.46,35.27,24.440001,1523.97,32.189999,2632.876
2015-08-25,23.870001,1714.299,9890.73,35.91,25.440001,1564.8,32.630001,2658.492
2015-08-26,24.73,1706.17,9847.01,35.419998,25.67,1535.62,33.759998,2646.283
2015-08-27,25.370001,1731.13,9995.88,36.18,26.030001,1563.3,35.119999,2691.56
2015-08-28,25.43,1747.838,10025.57,36.508999,25.837999,1568.96,34.610001,2722.973
2015-08-31,25.27,1736.808,9956.66,36.130001,25.837999,1564.4,34.540001,2704.876
2015-09-01,24.48,1694.605,9798.03,35.259998,25.837999,1528.1,33.189999,2636.639
2015-09-02,24.879999,1689.896,9774.77,35.580002,25.837999,1528.04,33.689999,2627.209
2015-09-03,24.940001,1704.052,9831.55,35.66,25.43,1545.59,33.84,2649.336
2015-09-04,24.559999,1671.12,9694.48,35.07,24.9,1508.51,32.779999,2596.033
2015-09-08,25.129999,1691.384,9829.39,35.860001,24.9,1543.35,33.880001,2635.553
2015-09-09,24.76,1730.592,9961,36.209999,24.9,1561.65,33.689999,2698.605
2015-09-10,24.870001,1710.228,9867.34,36.314999,24.9,1549.51,33.939999,2661.067
2015-09-11,24.91,1704.822,9845.33,36.130001,24.9,1542.62,34.07,2652.179
2015-09-14,24.77,1697.791,9854.55,35.939999,25.280001,1534.2,34.07,2639.227
2015-09-15,25.129999,1701.52,9843.27,36.189999,25.280001,1544.4,34.419998,2644.519
2015-09-16,25.379999,1728.451,9997.81,36.669998,25.749001,1571.52,35.220001,2683.948
2015-09-17,25.24,1731.973,9999.27,36.700001,25.879999,1571.19,35.220001,2687.165
2015-09-18,24.76,1713.961,10008.91,36.32,25.41,1550.14,34.360001,2652.838
2015-09-21,24.91,1698.974,9923.72,35.970001,25.34,1538.19,34.439999,2625.497
2015-09-22,24.58,1658.336,9785.16,35.122002,25.34,1481.32,33.77,2561.731
2015-09-23,24.469999,1654.306,9736.27,34.919998,24.809999,1484.09,33.259998,2554.461
2015-09-24,24.360001,1639.295,9729.24,34.919998,24.58,1470.87,33.200001,2530.785
2015-09-25,24.440001,1660.738,9804.49,35.279999,25.040001,1497.57,32.689999,2562.117
2015-09-28,23.84,1638.088,9737.53,34.599998,25.040001,1468.15,31.959999,2516.643
2015-09-29,23.84,1609.496,9628.71,34.483002,24.18,1460.39,32.220001,2475.642
2015-09-30,24.280001,1644.404,9781.01,35.290001,24.434,1490.22,33.09,2527.625
2015-10-01,24.309999,1654.982,9832.6,35.470001,24.629999,1489.07,33.200001,2544.789
2015-10-02,24.639999,1668.865,9848.61,36.07,24.629999,1505.95,34.07,2567.139
2015-10-05,25.139999,1702.144,10028.87,36.740002,25.402,1543.67,34.75,2620.064
2015-10-06,25.18,1719.727,10081.91,36.77,25.402,1560.65,34.66,2652.174
2015-10-07,25.4,1729.506,10165.19,37.09,25.402,1561.05,35.52,2683.709
2015-10-08,25.66,1733.561,10174.77,37.09,25.43,1569.74,35.98,2690.794
2015-10-09,25.67,1758.174,10302.67,37.540001,25.35,1586.8,36.02,2734.425
2015-10-12,25.620001,1758.072,10311.03,37.349998,25.35,1584.91,35.82,2731.56
2015-10-13,25.43,1741.444,10242.59,36.919998,25.34,1570.26,35.18,2697.34
2015-10-14,25.32,1731.713,10250.18,37.094002,25.34,1566.97,35.450001,2683.566
2015-10-15,25.73,1753.887,10351.24,37.669998,25.34,1582.67,36.259998,2714.745
2015-10-16,25.82,1763.182,10389.06,37.594002,25.34,1590.9,36.369999,2730.115
2015-10-19,25.73,1754.607,10376.9,37.380001,25.34,1585.65,36,2711.094
2015-10-20,25.719999,1751.196,10396.31,37.470001,25.34,1582.77,35.919998,2704.034
2015-10-21,25.549999,1758.666,10369.73,37.099998,25.440001,1584.18,35.400002,2714.196
2015-10-22,25.92,1759.623,10405.47,37.419998,25.440001,1589.48,36.169998,2717.064
2015-10-23,26.219999,1777.369,10469.98,37.736,25.9,1602.09,36.41,2741.04
2015-10-26,26.120001,1779.255,10482.5,37.560001,25.849001,1598.18,36,2742.441
2015-10-27,25.9,1764.199,10419.32,37.066002,25.849001,1581.27,35.669998,2712.158
2015-10-28,26.35,1776.707,10472.62,37.189999,25.719999,1600.56,35.279999,2729.168
2015-10-29,26.35,1759.411,10391.21,37.080002,25.709999,1584.34,34.889999,2693.811
2015-10-30,26.190001,1771.658,10410.86,37.200001,25.594,1595.4,34.84,2711.263
2015-11-02,26.530001,1763.331,10362.84,37.259998,25.9,1599.01,35.5,2698.199
2015-11-03,26.700001,1761.295,10379.89,37.028999,25.733,1594.41,35.939999,2698.343
2015-11-04,26.59,1761.345,10371.62,37.290001,25.733,1589.58,35.740002,2699.89
2015-11-05,26.51,1758.313,10339.11,36.98,25.584,1582.81,35.790001,2686.619
2015-11-06,26.629999,1743.478,10224.75,36.439999,25.584,1569.16,35.389999,2661.73
2015-11-09,26.41,1735.723,10145.96,36.07,25.584,1552.47,34.560001,2649.601
2015-11-10,26.42,1729.295,10115.1,36.029999,25.52,1546.29,34.470001,2640.107
2015-11-11,26.32,1743.29,10165.89,36.09,25.52,1561.12,34.509998,2654.11
2015-11-12,25.940001,1728.629,10116.7,35.77,25.52,1539.1,34.150002,2624.34
2015-11-13,25.73,1712.18,10008.61,35.450001,25.52,1522.95,33.700001,2601.504
2015-11-16,26.120001,1706.612,10021.81,35.909,25.412001,1525.21,34.43,2594.316
2015-11-17,26.120001,1733.611,10145.47,36.014999,25.412001,1553.99,34.389999,2634.582
2015-11-18,26.469999,1731.118,10133.03,36.380001,25.412001,1551.79,34.66,2634.372
2015-11-19,26.43,1757.353,10293.45,36.900002,25.780001,1571.67,34.919998,2675.6
2015-11-20,26.459999,1754.649,10296.12,36.75,25.790001,1565.31,35.220001,2665.79
2015-11-23,26.389999,1743.736,10242.41,36.319,25.620001,1551.9,34.93,2647.293
2015-11-24,26.450001,1734.054,10218.34,36.68,25.5,1536.49,35.02,2637.378
2015-11-25,26.440001,1740.066,10236.19,36.73,25.666,1551.99,34.75,2641.838
2015-11-27,26.450001,1746.06,10228.22,36.830002,25.666,1562.11,33.990002,2649.034
2015-11-30,26.360001,1741.012,10247.44,36.859001,25.559999,1563.66,34.040001,2636.186
2015-12-01,26.6,1753.858,10341.22,37.145,25.790001,1565.09,34.240002,2657.251
2015-12-02,26.309999,1748.108,10311.54,36.919998,25.6,1559.65,33.900002,2644.256
2015-12-03,26.01,1740.661,10275.38,36.625,25.5,1549.46,33.799999,2633.059
2015-12-04,26.440001,1731.704,10288.01,36.884998,25.693001,1546.28,33.93,2617.262
2015-12-07,26.16,1734.426,10240.99,36.779999,25.568001,1548.21,33.450001,2611.002
2015-12-08,25.879999,1709.775,10127.27,36.275002,25.389999,1528.03,33.049999,2569.216
2015-12-09,25.73,1713.389,10126.56,36.161999,25.389999,1535.94,32.810001,2582.435
2015-12-10,25.799999,1705.525,10101.33,36.155998,25.289,1523.18,32.48,2570.776
2015-12-11,23.370001,1690.151,9982.98,36.459999,24.83,1499.14,31.559999,2543.561
2015-12-14,23.379999,1665.742,9898.06,35.527,24.83,1475.09,32.080002,2500.325
2015-12-15,23.709999,1674.347,9941.51,35.84,24.83,1504.41,32.549999,2514.364
2015-12-16,24.07,1693.536,10023.16,36.369999,24.83,1513.54,33.099998,2546.115
2015-12-17,23.67,1699.971,9998.87,35.921001,25.42,1512.37,32.810001,2553.842
2015-12-18,23.25,1687.214,9986.96,35.650002,25.07,1500.34,32.639999,2538.073
2015-12-21,23.440001,1682.525,9971.62,35.578999,25.02,1493.45,32.709999,2530.436
2015-12-22,23.67,1689.248,10006.18,35.740002,25.099001,1499.84,32.959999,2543.596
2015-12-23,24.059999,1710.792,10087.58,36.43,25.43,1529.77,33.450001,2582.445
2015-12-24,24.030001,1721.543,10148.13,36.382,25.4,1539.01,33.349998,2601.521
2015-12-28,23.93,1717.894,10136.47,36.169998,25.326,1533.47,33.18,2592.604
2015-12-29,24.16,1731.537,10216.26,36.75,25.326,1548.19,33.16,2609.022
2015-12-30,23.959999,1727.473,10211.4,36.374001,25.6,1537.11,32.700001,2599.924
2015-12-31,23.790001,1716.275,10138.5,36.240002,25.370001,1523.17,32.709999,2583.412
2016-01-04,23.48,1671.892,9941.56,35.330002,24.77,1478.42,31.780001,2517.826
2016-01-05,23.48,1666.745,9904.03,35.525002,24.77,1476.12,31.85,2509.822
2016-01-06,23.059999,1649.947,9815.2,34.900002,24.59,1459.48,31.280001,2482.33
2016-01-07,22.42,1622.583,9682.24,34.410999,24.43,1445.92,30.27,2435.772
2016-01-08,22.08,1610.749,9635.95,34.240002,24.43,1422.83,30,2415.498
2016-01-11,21.98,1600.968,9583.49,33.645,24,1417.52,29.870001,2401.676
2016-01-12,22.120001,1593.448,9565.5,33.950001,23.98,1427.06,29.98,2384.43
2016-01-13,21.58,1611.863,9612.17,33.52,23.98,1433.04,29.639999,2413.247
2016-01-14,21.98,1583.707,9482.72,33.950001,24.059999,1412.51,30.02,2378.413
2016-01-15,21.459999,1565.243,9383.61,32.759998,23.084,1382.93,28.76,2346.163
2016-01-19,21.379999,1565.208,9388.25,32.894001,23.200001,1395.23,29.16,2338.869
