Date,FSPTX,Benchmark,composite
2014-01-02,10000,10000,10000
2014-01-03,9988.531170639797,9969.422442023866,9923.265401777928
2014-01-06,9984.43516015401,9942.174350354597,9879.737815808381
2014-01-07,10089.293028590153,10040.672714355582,9991.79237897778
2014-01-08,10140.08355861391,10053.790965460174,10014.872605388773
2014-01-09,10067.99377406406,10000.279242437604,9969.3478356239375
2014-01-10,10120.42270828213,10024.359642065703,10005.834750849082
2014-01-13,9990.169574834112,9910.087372633678,9868.211016052033
2014-01-14,10166.298025722945,10098.866358494832,10060.624466308742
2014-01-15,10275.251904644874,10216.771969697478,10156.74999889658
2014-01-16,10299.827967559597,10216.844884315637,10168.068919167301
2014-01-17,10261.3254689932,10157.285304177762,10128.532752242318
2014-01-21,10311.2967969198,10201.502290853412,10191.67571314993
2014-01-22,10358.810518554927,10212.0869660903,10218.843401990882
2014-01-23,10273.613500450561,10164.938735374943,10174.123109254939
2014-01-24,10013.107233554518,9949.499041740584,9945.690844226203
2014-01-27,9882.854100106495,9840.42784830389,9812.038623551525
2014-01-28,10045.056115343654,9808.345534665454,9841.399353715473
2014-01-29,9924.633407061521,9709.776886653386,9724.935394126276
2014-01-30,10127.79552715655,9867.94998575139,9916.487306063013
2014-01-31,10108.134676824771,9872.405862944483,9874.997174566905
2014-02-03,9836.978782665681,9643.236261714137,9616.543167284308
2014-02-04,9913.983779798476,9700.601124756455,9690.134969315817
2014-02-05,9877.119685426394,9690.895809282567,9661.672604853788
2014-02-06,10030.310477594821,9805.521365478908,9785.491663953231
2014-02-07,10215.450151552388,9946.60698244919,9945.268440430644
2014-02-10,10227.738183009747,9976.638832015968,9982.224762739195
2014-02-11,10309.658392725485,10080.392116074043,10075.357079223691
2014-02-12,10334.234455640206,10114.075328952747,10109.404392305887
2014-02-13,10436.634717784877,10212.075631347756,10221.8406260474
2014-02-14,10459.572376505283,10233.53229360599,10228.679576330893
2014-02-18,10565.249447038585,10264.144054853647,10286.21696810552
2014-02-19,10507.086098140411,10211.304492285171,10217.754417810054
2014-02-20,10535.758171540918,10257.003565138039,10282.789261035134
2014-02-21,10530.023756860815,10225.638847756038,10265.31039046584
2014-02-24,10595.559924633406,10284.275993957412,10336.720016987472
2014-02-25,10578.356680593102,10254.872999349956,10333.217866140298
2014-02-26,10637.339231588432,10282.912537938055,10365.333204725954
2014-02-27,10751.208323093306,10355.2652014002,10428.990235702418
2014-02-28,10706.152207749652,10331.609227898269,10393.21005638693
2014-03-03,10597.19832882772,10242.42590810045,10308.255903215859
2014-03-04,10814.286884574423,10419.828960090646,10501.223958477582
2014-03-05,10869.173425083967,10430.937228346951,10515.763567277641
2014-03-06,10892.930285901532,10426.888239899534,10502.649967014555
2014-03-07,10823.298107643155,10392.522376415827,10457.085650084739
2014-03-10,10771.68837552224,10367.71585392145,10431.443873897357
2014-03-11,10708.609814041121,10330.289631468837,10377.967663586052
2014-03-12,10700.41779306955,10365.956026205147,10420.093120361102
2014-03-13,10527.566150569346,10198.09267979361,10251.092158544227
2014-03-14,10484.967641517162,10146.531075824812,10211.039463708172
2014-03-17,10589.825509953305,10271.065746919143,10320.063231383974
2014-03-18,10747.11231260752,10419.476786896194,10469.810490408017
2014-03-19,10668.468911280412,10361.457306159835,10398.858983379068
2014-03-20,10623.412795936756,10423.907390894945,10439.096425255239
2014-03-21,10548.865405095436,10364.868918417655,10341.391396506218
2014-03-24,10438.273121979193,10308.303044443688,10220.960213928793
2014-03-25,10393.217006635536,10365.99068673966,10253.374168171465
2014-03-26,10233.47259768985,10217.430616685378,10079.905453928053
2014-03-27,10151.552387974112,10158.40995056681,10017.158672532234
2014-03-28,10187.597280249036,10198.753188110852,10039.201560485142
2014-03-31,10279.347915130662,10296.658863965105,10143.20080200273
2014-04-01,10449.741951339394,10439.714913224969,10321.452932661314
2014-04-02,10473.498812156959,10436.058460844959,10324.86816364685
2014-04-03,10327.680838862947,10354.648332110737,10215.192284923152
2014-04-04,10025.395265011877,10113.039515313414,9933.362931889396
2014-04-07,9886.950110592285,10021.343825891418,9826.271408843915
2014-04-08,9989.350372736955,10109.188602433393,9931.754872115032
2014-04-09,10208.89653477513,10277.757398044574,10113.927035374038
2014-04-10,9909.068567215532,10000.048873344103,9797.551919822601
2014-04-14,8997.29663307938,9961.256295286827,9878.726163666512
2014-04-15,9025.14950438273,10015.082765873147,9923.371357522201
2014-04-16,9170.148275579586,10122.042490975979,10052.977138169004
2014-04-17,9152.94503153928,10110.648401074603,10053.685370856314
2014-04-21,9193.085934299992,10154.779987162734,10111.317069316141
2014-04-22,9267.633325141313,10215.38934091,10198.960777775817
2014-04-23,9164.413860899484,10120.74960946419,10090.667614663827
2014-04-24,9221.758007700499,10201.97746241215,10150.970762235904
2014-04-25,9030.883919062831,10033.20824574342,9923.530454516427
2014-04-28,8988.285410010649,10089.184707725479,9928.338620798002
2014-04-29,9086.589661669534,10165.326246929044,10013.556940366336
2014-04-30,9090.68567215532,10201.881523257642,10055.983043319007
2014-05-01,9135.741787498975,10205.360320897355,10086.087183522222
2014-05-02,9129.188170721716,10185.56441091477,10076.53682878128
2014-05-05,9146.39141476202,10216.820789245936,10113.017800112555
2014-05-06,9000.57344146801,10088.446556152827,9963.999887758355
2014-05-07,8880.150733185876,10059.483808970934,9910.037727992629
2014-05-08,8835.094617842222,10057.177923173576,9884.22029575365
2014-05-09,8870.320308019987,10079.481915267372,9934.762807660689
2014-05-12,9083.312853280902,10248.60747967266,10132.39687445437
2014-05-13,9069.386417629228,10239.422163669056,10100.879073217122
2014-05-15,8966.166953387401,10092.876207968648,10030.548082309595
2014-05-16,9000.57344146801,10158.903143666852,10098.08323271673
2014-05-19,9102.97370361268,10254.524129208148,10201.90801351907
2014-05-20,9090.68567215532,10191.403401056155,10133.16688529921
2014-05-21,9179.159498648316,10272.517686016516,10220.283941111322
2014-05-22,9247.972474809534,10299.814952285502,10265.871309378597
2014-05-23,9352.011141148521,10403.202969288968,10377.986200208088
2014-05-27,9473.253051527812,10510.624589185181,10505.135499034313
2014-05-28,9456.869009584663,10476.702502121394,10464.050186406288
2014-05-29,9504.382731219792,10544.052842980744,10530.614540207358
2014-05-30,9451.134594904564,10531.373833323141,10508.435808566484
2014-06-02,9401.982469075121,10503.921189090734,10482.231753733055
2014-06-03,9391.332841812075,10492.75135709751,10463.038783157965
2014-06-04,9407.716883755222,10524.047635659075,10498.069198748944
2014-06-05,9504.382731219792,10620.613374950262,10621.684027629284
2014-06-06,9560.90767592365,10677.11282206094,10688.14321946001
2014-06-09,9623.16703530761,10716.661530195655,10724.688173517648
2014-06-10,9664.127140165478,10732.329958504208,10732.560768301752
2014-06-11,9681.330384205783,10717.271874073298,10728.802474705704
2014-06-12,9610.059801753092,10622.75397362626,10630.693727257054
2014-06-13,9667.403948554107,10694.036636316241,10686.1929744935
2014-06-16,9714.917670189236,10706.424428625514,10703.578278303492
2014-06-17,9773.081019087409,10745.2673970641,10746.538820185115
2014-06-18,9824.690751208322,10796.13918484789,10807.520330796184
2014-06-19,9795.199475710659,10774.263793422366,10780.385873732075
2014-06-20,9791.10346522487,10746.565028731402,10767.736687434375
2014-06-23,9815.679528139592,10775.731795899543,10779.081760565172
2014-06-24,9741.951339395428,10710.033976582054,10719.572950624597
2014-06-25,9817.317932333906,10774.163728141835,10802.632217840835
2014-06-26,9846.809207831571,10760.365704499285,10789.937033455379
2014-06-27,9886.950110592285,10823.743640392411,10851.5625815963
2014-06-30,9929.548619644465,10849.811622361933,10880.710735367142
2014-07-01,10031.948881789136,10969.426063008776,11022.787527827602
2014-07-02,10006.553616777259,10960.216506687231,11008.695861307555
2014-07-03,10049.9713279266,11018.866359420117,11075.208921487352
2014-07-07,9978.700745473907,10987.446544537808,10998.62701861765
2014-07-08,9800.114688293601,10856.522500051133,10844.245898290925
2014-07-09,9827.148357499795,10903.951237401769,10905.678671559592
2014-07-10,9794.3802736135,10863.262190688156,10847.238103387617
2014-07-11,9820.594740722536,10904.015878249616,10900.904737331442
2014-07-14,9896.780535758171,10984.433461182327,10985.180394107587
2014-07-15,9850.905218317359,10950.332191581903,10929.472718366464
2014-07-16,9853.36282460883,11037.62468588662,10980.679242958657
2014-07-17,9707.544851314819,10893.086173880021,10825.597995384987
2014-07-18,9865.65085606619,11043.400094954372,10996.785988180838
2014-07-21,9854.182026705988,11036.512218831753,10987.796007919116
2014-07-22,9950.0286720734,11132.950042836637,11080.60342742307
2014-07-23,9968.870320308019,11138.030299191332,11089.248024208078
2014-07-24,10018.841648234618,11151.483256044225,11092.155508170992
2014-07-25,9990.988776931268,11109.647937092002,11006.022660972636
2014-07-28,9994.265585319898,11125.186938456607,11001.640327289906
2014-07-29,9963.955107725074,11079.420357447976,10981.778688814658
2014-07-30,10044.236913246496,11128.794947857683,11050.243563757336
2014-07-31,9803.39149668223,10897.116871807908,10817.374772964567
2014-08-01,9760.792987630046,10854.814235461214,10768.49633555318
2014-08-04,9868.108462357663,10931.420735809968,10861.117001574097
2014-08-05,9777.177029573195,10842.128942472196,10784.818914969572
2014-08-06,9752.600966658474,10825.898763892745,10782.55437459044
2014-08-07,9736.216924715327,10776.96172036719,10737.696649980564
2014-08-08,9794.3802736135,10851.178758003456,10815.136027761402
2014-08-11,9881.21569591218,10922.884378198476,10898.952666962501
2014-08-12,9845.170803637257,10893.443855748592,10858.195533396925
2014-08-13,9955.7630867535,11015.18665118248,10982.573055162564
2014-08-14,9970.508724502333,11029.535741280697,11007.20144152604
2014-08-15,9965.59351191939,11039.506624339056,11027.732768586866
2014-08-18,10080.281805521421,11159.81885906516,11151.139409474594
2014-08-19,10158.106004751371,11233.956289904947,11212.995397090312
2014-08-20,10118.784304087818,11234.553507645043,11209.050802230333
2014-08-21,10100.761857950356,11292.420052740294,11242.128703202376
2014-08-22,10136.80675022528,11298.83885235083,11259.390652213773
2014-08-25,10142.541164905382,11294.69766354628,11270.084628578501
2014-08-26,10181.862865568935,11316.534650260352,11311.692421061003
2014-08-27,10175.309248791677,11302.980509177496,11289.959286368916
2014-08-28,10125.337920865077,11275.430672352037,11253.268468648565
2014-08-29,10188.416482346194,11339.323443333464,11313.844749367108
2014-09-02,10269.517489964774,11368.541612241052,11357.923685786836
2014-09-03,10188.416482346194,11290.214049318276,11286.92196587008
2014-09-04,10168.755632014418,11275.218669091972,11268.065835048734
2014-09-05,10226.099778815433,11345.934212705613,11324.006959453525
2014-09-08,10262.963873187515,11367.71345517361,11351.958856560774
2014-09-09,10140.902760711067,11282.210091073397,11245.67304808484
2014-09-10,10234.291799787006,11375.852375934372,11331.83562472672
2014-09-11,10231.834193495535,11397.89693852687,11350.366269957105
2014-09-12,10176.128450888833,11341.340285126573,11283.310002805232
2014-09-15,10011.468829360203,11240.647370796534,11146.429141354702
2014-09-16,10076.185795035635,11319.825905520089,11232.79523902413
2014-09-17,10085.197018104365,11333.959963663387,11244.058122935654
2014-09-18,10153.190792168427,11412.767383745642,11324.041740290508
2014-09-19,10175.309248791677,11364.713040692684,11267.998319060167
2014-09-22,10047.513721635127,11260.684882403437,11134.235218408945
2014-09-23,10050.790530023756,11226.081844677052,11080.314790176155
2014-09-24,10138.445154419594,11307.647469725116,11186.69334342029
2014-09-25,9922.17580077005,11054.712313262584,10951.60536868903
2014-09-26,10032.768083886294,11185.069039629034,11074.79239309649
2014-09-29,10022.118456623248,11175.401370347996,11068.304545682702
2014-09-30,9990.988776931268,11182.383281259266,11050.131345308466
2014-10-01,9816.498730236748,10993.45707823414,10859.9010870547
2014-10-02,9860.735643483247,11011.05474212681,10886.170738849743
2014-10-03,9967.231916113704,11102.71101009965,10984.712828094625
2014-10-06,9900.057344146802,11083.895848533482,10944.603983161427
2014-10-07,9729.663307938068,10894.577061024871,10758.61127969046
2014-10-08,9900.876546243957,11105.972424914728,10965.65098639046
2014-10-09,9687.884000983042,10905.811582282025,10746.321295213937
2014-10-10,9405.25927746375,10580.136159350652,10422.45300018313
2014-10-13,9277.4637503072,10446.848942083532,10282.903088917974
2014-10-14,9325.796674039486,10488.536161623193,10343.548552740434
2014-10-15,9352.830343245678,10443.23925963788,10337.777708278843
2014-10-16,9355.28794953715,10402.621917140397,10324.297635337713
2014-10-17,9410.993692143851,10520.42458499547,10414.623471183471
2014-10-20,9523.22437945441,10590.868584328406,10513.457173536444
2014-10-21,9720.652084869336,10820.605751138948,10756.306856530038
2014-10-22,9637.912673056442,10736.933951248553,10653.424862172224
2014-10-23,9773.081019087409,10912.858187836791,10839.326967678837
2014-10-24,9824.690751208322,10998.073847444337,10890.088549456024
2014-10-27,9793.561071516342,10997.172877970466,10894.84296478424
2014-10-28,9978.700745473907,11173.816889538792,11097.430952853345
2014-10-29,9913.983779798476,11147.456533614555,11053.169021677837
2014-10-30,9959.03989514213,11186.8164082738,11103.160937963366
2014-10-31,10136.80675022528,11396.73686770514,11313.078359945972
2014-11-03,10117.145899893503,11439.22045646521,11338.462556092494
2014-11-04,10121.24191037929,11443.226392257387,11312.296015976197
2014-11-05,10046.694519537969,11461.069084557006,11300.707003224843
2014-11-06,10028.672073400508,11462.79853925176,11319.731269269972
2014-11-07,10060.620955189645,11462.320855436366,11314.515401726381
2014-11-10,10132.710739739494,11500.794683533852,11365.145864484977
2014-11-11,10163.840419431473,11514.29622861392,11388.150245905039
2014-11-12,10196.608503317766,11546.077345811756,11424.58213237853
2014-11-13,10169.574834111574,11585.726312891327,11444.083729160388
2014-11-14,10245.76062914721,11661.816703194978,11506.703475296817
2014-11-17,10144.998771196853,11625.395485615416,11447.123619726452
2014-11-18,10186.77807815188,11677.571527310492,11509.189057140811
2014-11-19,10096.665847464568,11594.070012156939,11422.62880590349
2014-11-20,10148.275579585483,11671.672162315961,11501.733012139217
2014-11-21,10206.438928483656,11702.337100559376,11529.704046672172
2014-11-24,10280.16711722782,11791.721045838201,11635.62991393631
2014-11-25,10279.347915130662,11797.02212793885,11653.09269850151
2014-11-26,10343.245678708938,11898.978653569862,11741.050314160817
2014-11-28,10344.884082903252,11926.606171307687,11758.222904179102
2014-12-01,10142.541164905382,11781.777948230836,11590.477096815508
2014-12-02,10190.874088637665,11823.042430827603,11644.535290260834
2014-12-03,10230.19578930122,11890.150739697472,11701.82234845281
2014-12-04,10231.834193495535,11898.177717099135,11703.159038231794
2014-12-08,9258.62210207258,11737.984682958395,11558.167318799007
2014-12-09,9333.98869501106,11807.613742814034,11648.983014557098
2014-12-10,9169.329073482428,11606.999822494276,11443.63836049711
2014-12-11,9235.684443352173,11664.416323976884,11505.1295002324
2014-12-12,9170.967477676742,11485.37644263467,11359.749070355521
2014-12-15,9100.516097321208,11418.756555191074,11273.410488027612
2014-12-16,8977.635782747604,11265.083660898203,11118.436172802418
2014-12-17,9163.594658802325,11492.038952658837,11359.213165730154
2014-12-18,9387.236831326287,11829.356264374288,11645.138858000457
2014-12-19,9427.377734086998,11848.832332345472,11663.270359836408
2014-12-22,9504.382731219792,11969.661898277836,11763.286990541761
2014-12-23,9502.744327025477,11999.35705703699,11762.385934341963
2014-12-24,9510.117145899892,11997.371223054048,11774.417275680764
2014-12-26,9565.822888506595,12048.243559553426,11840.013345009203
2014-12-29,9510.117145899892,11986.637313316474,11804.721387927466
2014-12-30,9452.772999098877,11904.906417285747,11725.410708074896
2014-12-31,9377.406406160399,11774.530571946822,11619.812484728023
2015-01-02,9363.479970508724,11749.748305909085,11595.927687290385
2015-01-05,9210.289178340296,11541.187187130208,11405.677268632111
2015-01-06,9123.453756041616,11393.306846577367,11239.450941239267
2015-01-07,9185.713115425573,11492.260402434282,11349.182421062796
2015-01-08,9388.875235520602,11753.240896752346,11575.770454683441
2015-01-09,9341.361513885475,11717.916593906488,11523.47454771662
2015-01-12,9237.32284754649,11571.131618772753,11399.093140207144
2015-01-13,9234.865241255016,11565.977043733552,11399.871668424916
2015-01-14,9179.978700745472,11500.973747720067,11348.57311256961
2015-01-15,9022.691898091258,11320.392723340809,11157.074908262708
2015-01-16,9111.984926681413,11441.458893282012,11303.481854599033
2015-01-20,9178.340296551158,11520.846434848163,11361.427172811726
2015-01-21,9249.610879003849,11541.303799951353,11391.159256231225
2015-01-22,9407.716883755222,11760.563936612012,11613.47831130815
2015-01-23,9461.784222167607,11792.197836645873,11656.46642923821
2015-01-26,9462.603424264766,11760.733608078493,11655.304868380497
2015-01-27,9295.486196444663,11420.124799022897,11377.596709749028
2015-01-28,9287.29417547309,11395.760272312567,11298.573366487743
2015-01-29,9359.383960022937,11515.220055857644,11407.716235522736
2015-01-30,9248.79167690669,11352.70302830521,11302.497414487483
2015-02-02,9306.135823707707,11463.592885755887,11394.013950596875
2015-02-03,9429.83534037847,11602.959807160556,11533.256518547227
2015-02-04,9452.772999098877,11615.540806531293,11530.79196386793
2015-02-05,9521.585975260095,11726.984834446395,11657.452350483401
2015-02-06,9487.179487179486,11674.375425788838,11600.282880300434
2015-02-09,9451.953797001719,11647.873382893005,11558.667573136465
2015-02-10,9551.896452854919,11821.964726518976,11721.74787244046
2015-02-11,9589.579749324157,11871.971426524566,11761.893626955276
2015-02-12,9700.99123453756,12063.009506730461,11944.426298595043
2015-02-13,9787.826656836241,12152.079398409363,12045.462325642644
2015-02-17,9777.996231670353,12149.84435071824,12039.765313656664
2015-02-18,9796.018677807815,12171.891215764374,12066.776654318053
2015-02-19,9834.521176374212,12218.04012242686,12141.885350028924
2015-02-20,9899.238142049642,12297.115224262463,12220.551093116961
2015-02-23,9864.831653969033,12300.607589164014,12208.388543526427
2015-02-24,9873.023674940607,12331.649290591522,12229.278355847951
2015-02-25,9879.577291717866,12265.443123940602,12218.292334127795
2015-02-26,9959.859097239289,12339.053750160925,12288.473081301412
2015-02-27,9900.057344146802,12268.008643662712,12220.67439684198
2015-03-02,9988.531170639797,12393.781034213749,12357.570486395389
2015-03-03,9922.17580077005,12293.388197374885,12260.47811709273
2015-03-04,9913.16457770132,12248.761008141784,12222.807034590307
2015-03-05,9927.91021545015,12247.59293790754,12251.738845751754
2015-03-06,9842.713197345785,12106.582801607714,12102.272915434698
2015-03-09,9867.289260260506,12161.503416451984,12147.20401333885
2015-03-10,9678.053575817154,11905.801302472093,11912.446655390579
2015-03-11,9655.935119193906,11847.204922611014,11875.684100150502
2015-03-12,9756.69697714426,11921.492782214817,11966.276685800345
2015-03-13,9679.691980011468,11860.233647002062,11903.766686868123
2015-03-16,9787.826656836241,12005.09578285395,12037.581804773961
2015-03-17,9827.148357499795,12011.30956187923,12050.028308992
2015-03-18,9945.113459490456,12158.530319399935,12179.186045444352
2015-03-19,9948.390267879086,12144.91396365285,12201.981241163285
2015-03-20,10030.310477594821,12213.074504593118,12288.009946240294
2015-03-23,10074.54739084132,12218.966386613332,12261.979736585641
2015-03-24,10071.270582452691,12181.472876567099,12230.180416742929
2015-03-25,9852.543622511672,11851.28948611892,11890.766873406383
2015-03-26,9828.78676169411,11858.239496212302,11881.099865253605
2015-03-27,9848.447612025886,11892.758661147505,11940.577899825732
2015-03-30,9947.571065781927,12029.536312052498,12066.125941040033
2015-03-31,9872.20447284345,11923.559949834462,11970.311220911808
2015-04-01,9837.797984762841,11868.324415280375,11915.525053379777
2015-04-02,9853.36282460883,11867.020855332918,11917.639224830145
2015-04-06,9950.847874170557,11977.42548681868,12013.445437388576
2015-04-07,9929.548619644465,11963.785342637073,11999.851790118306
2015-04-08,10012.28803145736,12008.288247789957,12087.903158392764
2015-04-09,10048.332923732285,12053.43935281635,12122.83667519014
2015-04-13,9922.995002867206,12055.546888688514,12095.636227188821
2015-04-14,9930.367821741624,12013.339088685592,12054.860727921454
2015-04-15,9977.062341279594,12121.72020771818,12150.884253451144
2015-04-16,9999.180797902842,12094.661718802114,12149.09164326922
2015-04-17,9838.617186859998,11907.999414072889,11946.942313155161
2015-04-20,9951.667076267715,12108.804093752233,12136.198671166057
2015-04-21,9994.265585319898,12114.663397129427,12171.451465332177
2015-04-22,10081.920209715736,12233.522756713923,12260.533331900615
2015-04-23,10100.761857950356,12257.597185025352,12290.202690181268
2015-04-24,10099.123453756041,12333.490737061453,12406.741221217662
2015-04-27,10143.360367002539,12361.24401825975,12376.483826877375
2015-04-28,10082.739411812894,12373.541057314758,12365.751268742324
2015-04-29,10038.502498566395,12314.448961337856,12297.930727863604
2015-04-30,9873.842877037765,12114.301594514398,12086.484490959461
2015-05-01,9961.497501433603,12268.587484810241,12225.2670890852
2015-05-04,9974.604734988121,12274.983749424802,12235.429982365922
2015-05-05,9834.521176374212,12083.647044210164,12049.86677599013
2015-05-06,9798.476284099286,12003.095198104964,11991.732359660034
2015-05-07,9884.49250430081,12087.134626678815,12080.471671173242
2015-05-08,10010.649627263045,12259.63229044017,12229.157037512201
2015-05-11,9980.339149668223,12205.624157337947,12197.761293216025
2015-05-12,9920.537396575735,12143.271173743293,12142.323675493555
2015-05-13,9976.243139182438,12199.381484671369,12178.499152416845
2015-05-14,10158.92520684853,12400.829447302207,12367.108976669957
2015-05-15,10130.25313344802,12362.858608491842,12338.814526238446
2015-05-18,10167.117227820103,12427.701173875159,12411.598022985803
2015-05-19,10156.467600557056,12397.388451862718,12377.885976024336
2015-05-20,10158.92520684853,12394.451801360618,12380.283879591489
2015-05-21,10242.48382075858,12435.8148644781,12420.957063008635
2015-05-22,10313.754403211271,12438.031202043652,12418.326608314477
2015-05-26,10167.117227820103,12268.582508713018,12266.080820697745
2015-05-27,10285.901531907919,12477.138581460329,12471.029971966285
2015-05-28,10252.314245924468,12469.944828675929,12451.076032080015
2015-05-29,10176.128450888833,12377.335328759438,12367.679539719973
2015-06-01,10224.461374621118,12417.940265981026,12410.45079121497
2015-06-02,10231.014991398379,12389.304494113148,12396.328445705272
2015-06-03,10281.805521422135,12432.695755284542,12456.677533854143
2015-06-04,10190.054886540509,12314.177546166698,12343.518443578392
2015-06-05,10222.003768329647,12313.273564136669,12362.851610532187
2015-06-08,10123.699516670762,12161.572317914972,12212.342602973546
2015-06-09,10073.728188744162,12138.70530597304,12186.833965163178
2015-06-10,10207.258130580814,12326.148879484928,12369.368301435976
2015-06-11,10196.608503317766,12318.558050280628,12371.651400582938
2015-06-12,10182.682067666092,12232.175294140028,12295.536072805417
2015-06-15,10103.219464241827,12165.834805141405,12228.267059219866
2015-06-16,10131.891537642336,12241.999761589534,12301.014105706401
2015-06-17,10193.331694929138,12263.995988794388,12325.05970166328
2015-06-18,10265.421479478988,12366.93258501668,12464.32323919566
2015-06-19,10192.51249283198,12286.711635928066,12394.56428756845
2015-06-22,10249.856639632997,12360.122529675102,12476.012311094233
2015-06-23,10305.562382239697,12361.294580787127,12495.880447857886
2015-06-24,10247.399033341524,12293.404954718515,12409.24636148671
2015-06-25,10222.822970426803,12260.526121231858,12382.364783997471
2015-06-26,10070.451380355531,12140.856448595592,12266.938780966972
2015-06-29,9828.78676169411,11865.8646846955,11970.236337618882
2015-06-30,9896.780535758171,11892.979481513898,12027.448945529402
2015-07-01,9919.718194478577,11956.919759430026,12083.008081284053
2015-07-02,9913.16457770132,11967.666101341318,12084.82166133902
2015-07-06,9763.250593921519,11906.927261474899,12037.275985238439
2015-07-07,9681.330384205783,11912.009341501978,12040.916267549766
2015-07-08,9481.445072499386,11715.905276926189,11841.999695844428
2015-07-09,9551.896452854919,11688.749035942355,11851.666566067133
2015-07-10,9689.522405177357,11865.499202458304,12034.998175935281
2015-07-13,9844.3516015401,12039.937194465916,12224.134597638382
2015-07-14,9891.046121078069,12097.176530748602,12301.672942501145
2015-07-15,9829.605963791266,12094.699031461958,12273.874615042105
2015-07-16,9955.7630867535,12236.321878647837,12443.660228790679
2015-07-17,10179.405259277462,12411.253962142773,12617.095939335957
2015-07-20,10199.885311706397,12461.050305035056,12651.508426166078
2015-07-21,10206.438928483656,12403.436481124087,12615.782822200525
2015-07-22,10062.25935938396,12226.089252875418,12490.958836380289
2015-07-23,10040.960104857868,12199.709256160942,12442.478349752844
2015-07-24,9972.966330793806,12123.004939189646,12378.041174912218
2015-07-27,9804.210698779389,11996.166033824287,12251.615595754043
2015-07-28,9903.33415253543,12117.322397545036,12369.753052263513
2015-07-29,9923.814204964365,12186.653311173177,12431.800055806034
2015-07-30,9904.972556729745,12207.106706157712,12477.522661465315
2015-07-31,9870.566068649136,12150.503029983527,12463.691936276982
2015-08-03,9804.210698779389,12083.44411089596,12418.633819393885
2015-08-04,9760.792987630046,12004.42045921589,12387.013592212837
2015-08-05,9853.36282460883,12124.955623097698,12505.788138498934
2015-08-06,9763.250593921519,11984.938597453665,12322.17776501564
2015-08-07,9749.324158269845,11993.282915369202,12301.143523449982
2015-08-10,9900.057344146802,12182.191016159557,12452.952359393925
2015-08-11,9742.770541492586,11978.59104479627,12297.1263304138
2015-08-12,9738.674531006798,12032.094580121568,12325.790152700361
2015-08-13,9726.386499549439,12003.074180146197,12301.830230171012
2015-08-14,9769.80421069878,12066.785068049576,12354.047997672964
2015-08-17,9813.221921848119,12145.44885375786,12458.055625147013
2015-08-18,9739.493733103956,12062.261074809921,12368.928111120698
2015-08-19,9653.477512902433,11961.666719482335,12276.608517136758
2015-08-20,9328.254280330957,11654.906469602012,11921.959299261242
2015-08-21,9000.57344146801,11205.278691922553,11497.108984669647
2015-08-24,8646.678135496026,10813.55037151437,11066.337813116319
2015-08-25,8639.30531662161,10697.51584280286,10994.488730290195
2015-08-26,9012.86147292537,11227.159473671773,11514.350983901273
2015-08-27,9256.16449578111,11491.766477713461,11789.924372458625
2015-08-28,9280.74055869583,11527.446649514633,11836.039527191791
2015-08-31,9174.244286065372,11427.071097216727,11716.232416740173
2015-09-01,8888.34275415745,11055.490488795624,11357.54229566262
