,Weights,Fund_FMNDX
(Intercept),0.003690887,(Intercept)
LMBITR.Index,0.052491225,LMBITR
LD20TRUU.Index,0.129598846,LD20TRUU
LBUSTRUU.Index.x,0,LBUSTRUU.x
LC07TRUU.Index,0,LC07TRUU
LGNMTRUU.Index,0,LGNMTRUU
GFSI.Index,0,GFSI
LEGATRUU.Index,0.000846723,LEGATRUU
LBUSTRUU.Index.y,0,LBUSTRUU.y
LUATTRUU.Index,0,LUATTRUU
BEIG1T.Index,0,BEIG1T
ASX.Index,0,ASX
JPMTUS...Index,0,JPMTUS..
FXJPEMCS.Index,0.001730749,FXJPEMCS
MRIEM.Index,0,MRIEM
LG30TRUU.Index,0,LG30TRUU
SPUIGFOT.Index,0,SPUIGFOT