,Weights,Fund_FBNDX
(Intercept),0,(Intercept)
LMBITR.Index,-0.057451617,LMBITR
LD20TRUU.Index,0.685403745,LD20TRUU
LC07TRUU.Index,0.457675846,LC07TRUU
LGNMTRUU.Index,0.130204071,LGNMTRUU
GFSI.Index,0.002411085,GFSI
LEGATRUU.Index,-0.042006829,LEGATRUU
LUATTRUU.Index,0.064453256,LUATTRUU
BEIG1T.Index,0.033209139,BEIG1T
ASX.Index,0.010276955,ASX
JPMTUS...Index,0.190992815,JPMTUS..
FXJPEMCS.Index,-0.000167824,FXJPEMCS
MRIEM.Index,0.000783784,MRIEM
LG30TRUU.Index,0.106754915,LG30TRUU
SPUIGFOT.Index,0.220761103,SPUIGFOT